ats_score,skill_score,keyword_score,semantic_score,experience_score,education_score,project_score,coding_score,aptitude_score,interview_score,selected
46.4,40.0,100.0,39.3,30.0,40.0,30.0,0.0,0.0,0.0,0
46.3,40.0,100.0,39.0,30.0,40.0,30.0,0.0,0.0,0.0,0
43.0,40.0,100.0,22.6,30.0,40.0,30.0,0.0,0.0,0.0,0
38.8,20.0,100.0,31.7,30.0,40.0,30.0,0.0,0.0,0.0,0
37.5,20.0,100.0,24.9,30.0,40.0,30.0,0.0,0.0,0.0,0
37.0,20.0,100.0,22.4,30.0,40.0,30.0,0.0,0.0,0.0,0
38.7,20.0,75.0,49.5,30.0,40.0,30.0,0.0,0.0,0.0,0
38.1,20.0,75.0,46.9,30.0,40.0,30.0,0.0,0.0,0.0,0
37.2,20.0,75.0,42.0,30.0,40.0,30.0,0.0,0.0,0.0,0
31.0,20.0,75.0,11.3,30.0,40.0,30.0,0.0,0.0,0.0,0
35.7,20.0,75.0,34.6,30.0,40.0,30.0,0.0,0.0,0.0,0
43.8,40.0,75.0,45.1,30.0,40.0,30.0,0.0,0.0,0.0,0
25.7,0.0,75.0,14.8,30.0,40.0,30.0,0.0,0.0,0.0,0
28.7,0.0,75.0,29.9,30.0,40.0,30.0,0.0,0.0,0.0,0
30.4,20.0,55.0,23.2,30.0,40.0,30.0,0.0,0.0,0.0,0
35.6,20.0,55.0,49.4,30.0,40.0,30.0,0.0,0.0,0.0,0
33.3,20.0,55.0,37.7,30.0,40.0,30.0,0.0,0.0,0.0,0
19.8,0.0,55.0,0.0,30.0,40.0,30.0,0.0,0.0,0.0,0
24.0,0.0,55.0,21.3,30.0,40.0,30.0,0.0,0.0,0.0,0
29.3,20.0,55.0,17.6,30.0,40.0,30.0,0.0,0.0,0.0,0
20.4,0.0,55.0,3.0,30.0,40.0,30.0,0.0,0.0,0.0,0
23.9,0.0,55.0,20.9,30.0,40.0,30.0,0.0,0.0,0.0,0
43.8,20.0,100.0,48.8,30.0,50.0,35.0,0.0,0.0,0.0,0
31.5,0.0,100.0,17.6,30.0,50.0,35.0,0.0,0.0,0.0,0
35.8,0.0,100.0,38.8,30.0,50.0,35.0,0.0,0.0,0.0,0
45.3,20.0,100.0,56.5,30.0,50.0,35.0,0.0,0.0,0.0,0
40.7,20.0,100.0,33.6,30.0,50.0,35.0,0.0,0.0,0.0,0
41.4,20.0,100.0,37.1,30.0,50.0,35.0,0.0,0.0,0.0,0
40.6,20.0,75.0,51.9,30.0,50.0,35.0,0.0,0.0,0.0,0
44.3,40.0,75.0,40.3,30.0,50.0,35.0,0.0,0.0,0.0,0
43.8,40.0,75.0,38.0,30.0,50.0,35.0,0.0,0.0,0.0,0
26.6,0.0,75.0,11.8,30.0,50.0,35.0,0.0,0.0,0.0,0
31.1,0.0,75.0,34.4,30.0,50.0,35.0,0.0,0.0,0.0,0
40.8,20.0,75.0,52.5,30.0,50.0,35.0,0.0,0.0,0.0,0
35.1,20.0,75.0,24.2,30.0,50.0,35.0,0.0,0.0,0.0,0
35.4,20.0,75.0,26.0,30.0,50.0,35.0,0.0,0.0,0.0,0
24.7,0.0,50.0,21.1,30.0,50.0,35.0,0.0,0.0,0.0,0
34.6,20.0,50.0,40.5,30.0,50.0,35.0,0.0,0.0,0.0,0
35.3,20.0,50.0,43.9,30.0,50.0,35.0,0.0,0.0,0.0,0
22.8,0.0,50.0,11.4,30.0,50.0,35.0,0.0,0.0,0.0,0
26.1,0.0,50.0,27.8,30.0,50.0,35.0,0.0,0.0,0.0,0
34.5,20.0,50.0,40.2,30.0,50.0,35.0,0.0,0.0,0.0,0
23.2,0.0,50.0,13.3,30.0,50.0,35.0,0.0,0.0,0.0,0
24.6,0.0,50.0,20.3,30.0,50.0,35.0,0.0,0.0,0.0,0
67.0,100.0,100.0,52.4,30.0,40.0,30.0,0.0,0.0,0.0,1
36.6,20.0,100.0,20.6,30.0,40.0,30.0,0.0,0.0,0.0,0
46.8,40.0,100.0,41.6,30.0,40.0,30.0,0.0,0.0,0.0,0
37.6,20.0,100.0,25.3,30.0,40.0,30.0,0.0,0.0,0.0,0
39.1,20.0,100.0,33.1,30.0,40.0,30.0,0.0,0.0,0.0,0
45.9,40.0,100.0,37.2,30.0,40.0,30.0,0.0,0.0,0.0,0
35.0,20.0,100.0,12.4,30.0,40.0,30.0,0.0,0.0,0.0,0
39.0,20.0,100.0,32.6,30.0,40.0,30.0,0.0,0.0,0.0,0
46.3,40.0,100.0,38.8,30.0,40.0,30.0,0.0,0.0,0.0,0
29.4,0.0,100.0,14.3,30.0,40.0,30.0,0.0,0.0,0.0,0
38.8,20.0,100.0,31.5,30.0,40.0,30.0,0.0,0.0,0.0,0
37.9,20.0,95.0,30.9,30.0,40.0,30.0,0.0,0.0,0.0,0
43.4,20.0,95.0,58.1,30.0,40.0,30.0,0.0,0.0,0.0,0
27.1,0.0,95.0,6.9,30.0,40.0,30.0,0.0,0.0,0.0,0
44.0,40.0,95.0,31.2,30.0,40.0,30.0,0.0,0.0,0.0,0
37.7,20.0,95.0,30.0,30.0,40.0,30.0,0.0,0.0,0.0,0
29.3,0.0,95.0,17.9,30.0,40.0,30.0,0.0,0.0,0.0,0
37.2,20.0,95.0,27.3,30.0,40.0,30.0,0.0,0.0,0.0,0
41.2,20.0,100.0,36.1,30.0,50.0,35.0,0.0,0.0,0.0,0
30.3,0.0,100.0,11.7,30.0,50.0,35.0,0.0,0.0,0.0,0
34.6,0.0,100.0,33.0,30.0,50.0,35.0,0.0,0.0,0.0,0
43.5,20.0,100.0,47.7,30.0,50.0,35.0,0.0,0.0,0.0,0
39.1,20.0,100.0,25.5,30.0,50.0,35.0,0.0,0.0,0.0,0
39.5,20.0,100.0,27.4,30.0,50.0,35.0,0.0,0.0,0.0,0
31.1,0.0,80.0,30.3,30.0,50.0,35.0,0.0,0.0,0.0,0
42.8,20.0,80.0,58.8,30.0,50.0,35.0,0.0,0.0,0.0,0
47.9,40.0,80.0,54.6,30.0,50.0,35.0,0.0,0.0,0.0,0
28.2,0.0,80.0,15.9,30.0,50.0,35.0,0.0,0.0,0.0,0
31.8,0.0,80.0,33.9,30.0,50.0,35.0,0.0,0.0,0.0,0
39.5,20.0,80.0,42.7,30.0,50.0,35.0,0.0,0.0,0.0,0
37.9,20.0,80.0,34.5,30.0,50.0,35.0,0.0,0.0,0.0,0
31.7,0.0,80.0,33.7,30.0,50.0,35.0,0.0,0.0,0.0,0
32.1,20.0,50.0,28.1,30.0,50.0,35.0,0.0,0.0,0.0,0
29.7,20.0,50.0,15.8,30.0,50.0,35.0,0.0,0.0,0.0,0
28.0,20.0,50.0,7.5,30.0,50.0,35.0,0.0,0.0,0.0,0
20.7,0.0,50.0,1.1,30.0,50.0,35.0,0.0,0.0,0.0,0
25.3,0.0,50.0,24.2,30.0,50.0,35.0,0.0,0.0,0.0,0
34.1,20.0,50.0,38.2,30.0,50.0,35.0,0.0,0.0,0.0,0
29.4,20.0,50.0,14.4,30.0,50.0,35.0,0.0,0.0,0.0,0
27.4,20.0,50.0,4.7,30.0,50.0,35.0,0.0,0.0,0.0,0
66.4,100.0,100.0,49.6,30.0,40.0,30.0,0.0,0.0,0.0,1
34.8,20.0,100.0,11.5,30.0,40.0,30.0,0.0,0.0,0.0,0
45.3,40.0,100.0,34.0,30.0,40.0,30.0,0.0,0.0,0.0,0
46.9,40.0,100.0,41.9,30.0,40.0,30.0,0.0,0.0,0.0,0
36.9,20.0,100.0,22.0,30.0,40.0,30.0,0.0,0.0,0.0,0
40.0,20.0,100.0,37.6,30.0,40.0,30.0,0.0,0.0,0.0,0
